,from_id,to_id,travel_time
763,3525,eng_quad,20.0
764,3525,ag_quad,25.0
765,3526,arts_quad,19.0
766,3526,eng_quad,21.0
767,3526,ag_quad,26.0
768,3547,arts_quad,29.0
769,3547,eng_quad,31.0
770,3547,ag_quad,36.0
771,3548,arts_quad,29.0
772,3548,eng_quad,31.0
773,3548,ag_quad,36.0
774,3549,arts_quad,29.0
775,3549,eng_quad,31.0
776,3549,ag_quad,36.0
777,355,arts_quad,28.0
778,355,eng_quad,30.0
779,355,ag_quad,35.0
780,3550,arts_quad,29.0
781,3550,eng_quad,31.0
782,3550,ag_quad,36.0
783,3553,arts_quad,40.0
784,3553,eng_quad,45.0
785,3553,ag_quad,43.0
786,3554,arts_quad,40.0
787,3554,eng_quad,45.0
788,3554,ag_quad,43.0
789,3555,arts_quad,32.0
790,3555,eng_quad,34.0
791,3555,ag_quad,39.0
792,3556,arts_quad,32.0
793,3556,eng_quad,34.0
794,3556,ag_quad,39.0
795,3557,arts_quad,38.0
796,3557,eng_quad,43.0
797,3557,ag_quad,41.0
798,3558,arts_quad,37.0
799,3558,eng_quad,42.0
800,3558,ag_quad,41.0
801,3559,arts_quad,41.0
802,3559,eng_quad,46.0
803,3559,ag_quad,44.0
804,356,arts_quad,27.0
805,356,eng_quad,28.0
806,356,ag_quad,33.0
807,3560,arts_quad,41.0
808,3560,eng_quad,46.0
809,3560,ag_quad,44.0
810,3579,arts_quad,27.0
811,3579,eng_quad,29.0
812,3579,ag_quad,34.0
813,358,arts_quad,36.0
814,358,eng_quad,34.0
815,358,ag_quad,40.0
816,3587,arts_quad,29.0
817,3587,eng_quad,31.0
818,3587,ag_quad,36.0
819,3588,arts_quad,25.0
820,3588,eng_quad,27.0
821,3588,ag_quad,32.0
822,3593,arts_quad,19.0
823,3593,eng_quad,21.0
824,3593,ag_quad,26.0
825,3601,arts_quad,29.0
826,3601,eng_quad,31.0
827,3601,ag_quad,36.0
828,3605,arts_quad,40.0
829,3605,eng_quad,43.0
